Exchange,Token,Ltp,Change,Exchange Timestamp,Volume
1,1330,1840.4,4294966216,2020-09-02 14:39:15,2730034
1,1330,1840.0,4294966176,2020-09-02 14:39:17,2730285
1,1330,1840.25,4294966201,2020-09-02 14:39:17,2730320
1,1330,1840.0,4294966176,2020-09-02 14:39:18,2730339
1,1330,1840.0,4294966176,2020-09-02 14:39:19,2730909
1,1330,1840.0,4294966176,2020-09-02 14:39:20,2731511
1,1330,1840.1,4294966186,2020-09-02 14:39:21,2731624
1,1330,1840.0,4294966176,2020-09-02 14:39:22,2731688
1,1330,1840.0,4294966176,2020-09-02 14:39:24,2731696
1,1330,1840.1,4294966186,2020-09-02 14:39:24,2731697
1,1330,1840.1,4294966186,2020-09-02 14:39:25,2731697
1,1330,1840.1,4294966186,2020-09-02 14:39:26,2731735
1,1330,1840.0,4294966176,2020-09-02 14:39:27,2731748
1,1330,1840.1,4294966186,2020-09-02 14:39:29,2731749
1,1330,1840.1,4294966186,2020-09-02 14:39:29,2731751
1,1330,1840.0,4294966176,2020-09-02 14:39:30,2732825
1,1330,1840.05,4294966181,2020-09-02 14:39:31,2732932
1,1330,1840.05,4294966181,2020-09-02 14:39:32,2732944
1,1330,1840.0,4294966176,2020-09-02 14:39:34,2732952
1,1330,1840.05,4294966181,2020-09-02 14:39:35,2732953
1,1330,1840.05,4294966181,2020-09-02 14:39:35,2732953
1,1330,1840.0,4294966176,2020-09-02 14:39:36,2732965
1,1330,1840.05,4294966181,2020-09-02 14:39:37,2733066
1,1330,1840.05,4294966181,2020-09-02 14:39:38,2733076
1,1330,1840.05,4294966181,2020-09-02 14:39:40,2733110
1,1330,1840.0,4294966176,2020-09-02 14:39:40,2733107
1,1330,1840.05,4294966181,2020-09-02 14:39:41,2733697
1,1330,1840.05,4294966181,2020-09-02 14:39:43,2733760
1,1330,1840.0,4294966176,2020-09-02 14:39:44,2734616
1,1330,1840.0,4294966176,2020-09-02 14:39:45,2735326
1,1330,1840.05,4294966181,2020-09-02 14:39:45,2735397
1,1330,1840.0,4294966176,2020-09-02 14:39:46,2735609
1,1330,1840.05,4294966181,2020-09-02 14:39:47,2735766
1,1330,1840.05,4294966181,2020-09-02 14:39:49,2735782
1,1330,1840.0,4294966176,2020-09-02 14:39:49,2735799
1,1330,1840.05,4294966181,2020-09-02 14:39:50,2735801
1,1330,1840.05,4294966181,2020-09-02 14:39:51,2735948
1,1330,1840.05,4294966181,2020-09-02 14:39:52,2735966
1,1330,1840.4,4294966216,2020-09-02 14:39:54,2739125
1,1330,1841.0,4294966276,2020-09-02 14:39:55,2739446
1,1330,1841.0,4294966276,2020-09-02 14:39:56,2739617
1,1330,1841.15,4294966291,2020-09-02 14:39:57,2740821
1,1330,1841.5,4294966326,2020-09-02 14:39:57,2740828
1,1330,1841.5,4294966326,2020-09-02 14:39:58,2740828
1,1330,1841.55,4294966331,2020-09-02 14:40:00,2740855
1,1330,1841.1,4294966286,2020-09-02 14:40:01,2741102
1,1330,1841.5,4294966326,2020-09-02 14:40:01,2741109
1,1330,1841.5,4294966326,2020-09-02 14:40:02,2741255
1,1330,1841.55,4294966331,2020-09-02 14:40:03,2741496
1,1330,1841.6,4294966336,2020-09-02 14:40:05,2741532
1,1330,1841.6,4294966336,2020-09-02 14:40:06,2741536
1,1330,1841.6,4294966336,2020-09-02 14:40:07,2741536
1,1330,1841.6,4294966336,2020-09-02 14:40:08,2741536
1,1330,1841.6,4294966336,2020-09-02 14:40:09,2741590
1,1330,1842.05,4294966381,2020-09-02 14:40:10,2741705
1,1330,1842.5,4294966426,2020-09-02 14:40:10,2741711
1,1330,1842.65,4294966441,2020-09-02 14:40:11,2741824
1,1330,1841.85,4294966361,2020-09-02 14:40:12,2741871
1,1330,1842.6,4294966436,2020-09-02 14:40:14,2741901
1,1330,1842.6,4294966436,2020-09-02 14:40:15,2741904
1,1330,1842.45,4294966421,2020-09-02 14:40:16,2742734
1,1330,1842.0,4294966376,2020-09-02 14:40:16,2743109
1,1330,1841.75,4294966351,2020-09-02 14:40:17,2743244
1,1330,1842.25,4294966401,2020-09-02 14:40:18,2743267
1,1330,1841.45,4294966321,2020-09-02 14:40:19,2743321
1,1330,1841.25,4294966301,2020-09-02 14:40:21,2743475
1,1330,1841.85,4294966361,2020-09-02 14:40:22,2743500
1,1330,1841.05,4294966281,2020-09-02 14:40:22,2743646
1,1330,1841.05,4294966281,2020-09-02 14:40:23,2744055
1,1330,1841.75,4294966351,2020-09-02 14:40:24,2744096
1,1330,1841.75,4294966351,2020-09-02 14:40:26,2744100
1,1330,1841.75,4294966351,2020-09-02 14:40:26,2744101
1,1330,1841.75,4294966351,2020-09-02 14:40:27,2744102
1,1330,1841.0,4294966276,2020-09-02 14:40:29,2744464
1,1330,1841.2,4294966296,2020-09-02 14:40:30,2744510
1,1330,1841.0,4294966276,2020-09-02 14:40:30,2745032
1,1330,1841.25,4294966301,2020-09-02 14:40:31,2745085
1,1330,1841.0,4294966276,2020-09-02 14:40:32,2746062
